"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253122848242,36253122854002
1,1,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",3.119505,36253122848242,36253122854002
1,1,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",6.70922853e-01,36253122848242,36253122854002
1,1,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",7.82504396e-03,36253122848242,36253122854002
1,1,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",88.215649,36253122848242,36253122854002
1,1,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253122848242,36253122854002
2,2,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253123014482,36253123017842
2,2,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",1.033744,36253123014482,36253123017842
2,2,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.05784681e-01,36253123014482,36253123017842
2,2,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",1.09634440e-02,36253123014482,36253123017842
2,2,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",88.215649,36253123014482,36253123017842
2,2,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253123014482,36253123017842
3,3,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253123661202,36253123666162
3,3,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",3.388287,36253123661202,36253123666162
3,3,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",7.17278441e-01,36253123661202,36253123666162
3,3,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",9.32177339e-03,36253123661202,36253123666162
3,3,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",92.748092,36253123661202,36253123666162
3,3,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253123661202,36253123666162
4,4,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253166165225,36253166171305
4,4,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",3.371824,36253166165225,36253166171305
4,4,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",7.23283645e-01,36253166165225,36253166171305
4,4,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",8.59489817e-03,36253166165225,36253166171305
4,4,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",88.215649,36253166165225,36253166171305
4,4,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253166165225,36253166171305
5,5,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253166256425,36253166260105
5,5,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",1.276982,36253166256425,36253166260105
5,5,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.34504440e-01,36253166256425,36253166260105
5,5,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",1.32681338e-02,36253166256425,36253166260105
5,5,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",88.215649,36253166256425,36253166260105
5,5,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253166256425,36253166260105
6,6,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253166897546,36253166902346
6,6,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",3.357358,36253166897546,36253166902346
6,6,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",7.09333090e-01,36253166897546,36253166902346
6,6,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",9.33708147e-03,36253166897546,36253166902346
6,6,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",92.748092,36253166897546,36253166902346
6,6,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253166897546,36253166902346
7,7,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253209269954,36253209275874
7,7,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",3.490742,36253209269954,36253209275874
7,7,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",7.51656192e-01,36253209269954,36253209275874
7,7,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",8.69235179e-03,36253209269954,36253209275874
7,7,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",88.215649,36253209269954,36253209275874
7,7,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253209269954,36253209275874
8,8,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253209360994,36253209364674
8,8,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",1.352867,36253209360994,36253209364674
8,8,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",1.50135287e-01,36253209360994,36253209364674
8,8,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",1.35080512e-02,36253209360994,36253209364674
8,8,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",88.215649,36253209360994,36253209364674
8,8,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253209360994,36253209364674
9,9,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,36253209995234,36253210000034
9,9,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitBusy",3.394352,36253209995234,36253210000034
9,9,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"MemUnitStalled",7.17505289e-01,36253209995234,36253210000034
9,9,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUBusy",9.41438230e-03,36253209995234,36253210000034
9,9,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"VALUUtilization",92.748092,36253209995234,36253210000034
9,9,"Agent 1",1,66804,66804,512,13,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"Wavefronts",8.000000,36253209995234,36253210000034
